Start Year Capacities (MW),preexisting,preexisting nonretiring,newly built
hard coal,410.0,0.0,0.0
natural gas nonpeaker,813.1,1504.0,0.0
nuclear,0.0,0.0,0.0
hydro,0.0,0.0,0.0
onshore wind,0.0,0.0,0.0
solar PV,36.199999999999996,0.0,0.0
solar thermal,0.0,0.0,0.0
biomass,10.0,0.0,0.0
geothermal,0.0,0.0,0.0
petroleum,158.5,0.0,0.0
natural gas peaker,142.0,0.0,0.0
lignite,0.0,0.0,0.0
offshore wind,0.0,0.0,0.0
crude oil,269.70000000000005,0.0,0.0
heavy or residual fuel oil,0.0,0.0,0.0
municipal solid waste,0.0,0.0,0.0
